"YOB","Gender","Income","HouseholdStatus","EducationLevel","Party","Q124742","Q124122","Q123464","Q123621","Q122769","Q122770","Q122771","Q122120","Q121699","Q121700","Q120978","Q121011","Q120379","Q120650","Q120472","Q120194","Q120012","Q120014","Q119334","Q119851","Q119650","Q118892","Q118117","Q118232","Q118233","Q118237","Q117186","Q117193","Q116797","Q116881","Q116953","Q116601","Q116441","Q116448","Q116197","Q115602","Q115777","Q115610","Q115611","Q115899","Q115390","Q114961","Q114748","Q115195","Q114517","Q114386","Q113992","Q114152","Q113583","Q113584","Q113181","Q112478","Q112512","Q112270","Q111848","Q111580","Q111220","Q110740","Q109367","Q108950","Q109244","Q108855","Q108617","Q108856","Q108754","Q108342","Q108343","Q107869","Q107491","Q106993","Q106997","Q106272","Q106388","Q106389","Q106042","Q105840","Q105655","Q104996","Q103293","Q102906","Q102674","Q102687","Q102289","Q102089","Q101162","Q101163","Q101596","Q100689","Q100680","Q100562","Q99982","Q100010","Q99716","Q99581","Q99480","Q98869","Q98578","Q98059","Q98078","Q98197","Q96024"
1995,"Male","$75,000 - $100,000","Single (no kids)","Current K-12","Democrat","Yes","Yes","No","No","Yes","Yes","Public","No","No","No","Yes","No","Yes","Yes","Science","Try first","No","Yes","Yes","No","Giving","Yes","Yes","Pragmatist","No","Yes","Hot headed","Standard hours","No","Happy","Yes","Yes","No","Yes","P.M.","No","Start","Yes","No","Circumstances","Yes","Yes","No","Yes","No","TMI","No","Yes","Tunes","People","Yes","Yes","Yes","Yes","Yes","Supportive","Yes","PC","No","Cautious","No","Yes!","No","Space","No","Online","No","Yes","Yes","Yes","Grrr people","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No","Own","Pessimist","Mom","No","No","Yes","Yes","Check!","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes"
1996,"Male","over $150,000","Single (no kids)","Current K-12","Democrat","Yes","Yes","No","No","No","Yes","Public","No","No","Yes","Yes","No","Yes","Yes","Science","Study first","No","Yes","No","No","Receiving","No","Yes","Pragmatist","No","Yes","Hot headed","Standard hours","No","Right","No","Yes","No","Yes","P.M.","Yes","Start","Yes","No","Circumstances","Yes","Yes","No","Yes","No","Mysterious","No","No","Tunes","Technology","No","Yes","Yes","No","Yes","Supportive","Yes","PC","No","Cautious","No","Umm...","No","Space","Yes","In-person","No","No","Yes","Yes","Grrr people","No","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","Own","Pessimist","Mom","No","No","Yes","Yes","Nope","Yes","No","No","No","No","No","Yes","No","No","Yes"
1951,"Female","$50,000 - $74,999","Married (w/kids)","Master's Degree","Democrat","No","No","No","Yes","No","No","Public","No","Yes","No","No","No","Yes","Yes","Science","Study first","No","No","No","Yes","Giving","Yes","No","Pragmatist","No","Yes","Cool headed","Standard hours","Yes","Happy","Yes","Yes","Yes","No","P.M.","Yes","Start","Yes","No","Me","Yes","Yes","Yes","Yes","No","TMI","No","No","Talk","Technology","No","No","No","No","Yes","Supportive","No","Mac","Yes","Cautious","Yes","Yes!","No","Space","No","In-person","Yes","Yes","Yes","No","Yay people!","No","No","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Own","Optimist","Dad","No","Yes","Yes","Yes","Check!","Yes","No","No","Yes","No","No","Yes","No","No","No"
1950,"Female","$50,000 - $74,999","Married (no kids)","Associate's Degree","Democrat","No","Yes","No","No","No","Yes","Public","No","Yes","No","No","No","No","Yes","Art","Study first","Yes","No","No","Yes","Giving","Yes","No","Pragmatist","No","No","Hot headed","Standard hours","No","Happy","No","Yes","No","Yes","A.M.","Yes","Start","Yes","No","Circumstances","Yes","No","No","Yes","Yes","Mysterious","Yes","No","Tunes","Technology","No","No","Yes","No","No","Supportive","No","PC","No","Cautious","Yes","Yes!","No","Space","No","In-person","No","Yes","No","Yes","Yay people!","No","No","No","Yes","Yes","No","No","No","No","Yes","Yes","No","Own","Pessimist","Mom","No","Yes","Yes","No","Check!","Yes","No","No","Yes","Yes","No","Only-child","No","No","No"
1977,"Female","$25,001 - $50,000","Single (no kids)","Bachelor's Degree","Democrat","No","No","No","Yes","No","No","Public","No","No","No","Yes","No","No","Yes","Science","Study first","Yes","Yes","No","No","Giving","Yes","Yes","Pragmatist","No","No","Cool headed","Standard hours","No","Happy","Yes","Yes","No","No","A.M.","Yes","Start","Yes","No","Me","No","No","Yes","No","Yes","Mysterious","No","Yes","Tunes","Technology","No","Yes","Yes","No","Yes","Supportive","No","PC","No","Cautious","Yes","Yes!","No","Space","No","In-person","No","No","Yes","Yes","Grrr people","Yes","No","No","No","Yes","No","Yes","No","No","No","Yes","No","Own","Optimist","Dad","No","Yes","Yes","Yes","Check!","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes"
1942,"Male","$100,001 - $150,000","Married (w/kids)","Master's Degree","Democrat","No","No","No","No","No","No","Private","No","Yes","No","No","No","Yes","Yes","Science","Study first","Yes","Yes","Yes","Yes","Giving","Yes","No","Pragmatist","No","No","Cool headed","Standard hours","Yes","Happy","Yes","Yes","Yes","No","P.M.","Yes","Start","Yes","No","Me","Yes","No","Yes","Yes","No","TMI","Yes","Yes","Tunes","Technology","Yes","No","No","Yes","Yes","Supportive","No","Mac","No","Risk-friendly","Yes","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","No","No","No","Yes","Yes","No","Yes","No","No","No","No","No","Own","Optimist","Mom","No","No","Yes","No","Nope","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
1979,"Female","$25,001 - $50,000","Married (w/kids)","Bachelor's Degree","Democrat","Yes","Yes","No","Yes","No","No","Public","No","Yes","No","No","Yes","Yes","Yes","Science","Try first","Yes","No","No","No","Receiving","Yes","Yes","Pragmatist","No","No","Hot headed","Standard hours","No","Happy","Yes","No","Yes","No","P.M.","No","End","Yes","No","Circumstances","Yes","Yes","No","No","No","TMI","Yes","Yes","Tunes","People","No","Yes","Yes","No","No","Supportive","No","Mac","Yes","Risk-friendly","No","Yes!","No","Space","No","In-person","Yes","Yes","Yes","No","Grrr people","No","No","No","Yes","Yes","Yes","No","No","No","Yes","No","No","Rent","Optimist","Dad","No","Yes","Yes","No","Nope","Yes","No","No","Yes","Yes","No","Yes","No","No","No"
1968,"Male","$50,000 - $74,999","Married (no kids)","Bachelor's Degree","Republican","No","No","No","Yes","No","Yes","Public","No","Yes","No","Yes","No","No","Yes","Science","Study first","No","No","No","Yes","Giving","Yes","No","Pragmatist","No","No","Cool headed","Standard hours","Yes","Happy","Yes","Yes","Yes","No","A.M.","Yes","Start","Yes","Yes","Me","Yes","No","No","Yes","Yes","Mysterious","Yes","Yes","Talk","People","Yes","No","No","Yes","No","Demanding","No","Mac","Yes","Cautious","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Own","Optimist","Dad","No","Yes","No","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","Yes","No"
1971,"Male","$100,001 - $150,000","Married (w/kids)","High School Diploma","Democrat","No","Yes","No","No","Yes","Yes","Public","No","Yes","No","Yes","No","No","Yes","Art","Study first","Yes","Yes","Yes","No","Giving","Yes","No","Idealist","Yes","No","Cool headed","Standard hours","No","Happy","Yes","Yes","Yes","No","P.M.","No","End","No","Yes","Circumstances","No","No","No","No","No","TMI","No","Yes","Tunes","Technology","Yes","Yes","Yes","No","Yes","Supportive","Yes","Mac","Yes","Risk-friendly","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Own","Optimist","Dad","Yes","Yes","No","Yes","Nope","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
1997,"Male","over $150,000","Married (w/kids)","Current K-12","Republican","No","Yes","No","No","No","Yes","Private","No","No","No","Yes","No","Yes","Yes","Science","Try first","Yes","Yes","Yes","No","Giving","No","No","Pragmatist","No","No","Hot headed","Standard hours","No","Happy","No","Yes","No","No","P.M.","Yes","Start","Yes","Yes","Circumstances","Yes","Yes","Yes","No","No","Mysterious","No","Yes","Tunes","People","Yes","Yes","Yes","No","No","Supportive","No","Mac","No","Risk-friendly","No","Yes!","No","Socialize","Yes","In-person","No","No","Yes","Yes","Yay people!","Yes","No","No","No","No","Yes","Yes","No","No","No","Yes","Yes","Own","Pessimist","Mom","No","No","No","No","Nope","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes"
1980,"Male","$75,000 - $100,000","Married (no kids)","Bachelor's Degree","Democrat","Yes","Yes","No","Yes","No","Yes","Public","No","Yes","No","Yes","No","No","Yes","Science","Study first","No","No","No","Yes","Receiving","No","Yes","Pragmatist","Yes","No","Cool headed","Odd hours","No","Right","Yes","Yes","No","Yes","P.M.","Yes","End","No","Yes","Circumstances","No","Yes","Yes","No","No","Mysterious","Yes","No","Talk","People","No","No","Yes","No","Yes","Supportive","No","PC","Yes","Cautious","No","Umm...","No","Space","No","In-person","No","No","Yes","Yes","Grrr people","Yes","No","Yes","No","No","No","Yes","No","No","No","Yes","Yes","Own","Pessimist","Mom","Yes","No","No","No","Nope","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No"
1980,"Female","$25,001 - $50,000","Single (w/kids)","High School Diploma","Republican","No","Yes","No","No","Yes","No","Public","Yes","Yes","No","Yes","Yes","No","Yes","Art","Study first","Yes","No","No","Yes","Giving","Yes","No","Idealist","Yes","Yes","Hot headed","Odd hours","No","Happy","Yes","Yes","No","Yes","P.M.","Yes","End","Yes","No","Me","Yes","No","Yes","Yes","No","TMI","No","No","Tunes","Technology","No","Yes","Yes","Yes","No","Demanding","No","PC","Yes","Cautious","No","Yes!","Yes","Space","No","Online","Yes","No","Yes","Yes","Grrr people","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Rent","Pessimist","Mom","No","Yes","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No"
1955,"Male","$75,000 - $100,000","Married (w/kids)","High School Diploma","Republican","No","No","No","No","No","Yes","Public","No","Yes","No","No","No","No","Yes","Science","Try first","Yes","Yes","No","No","Giving","Yes","No","Pragmatist","No","No","Cool headed","Standard hours","Yes","Happy","Yes","Yes","No","No","A.M.","Yes","Start","Yes","Yes","Me","Yes","Yes","Yes","Yes","Yes","TMI","No","No","Talk","Technology","No","No","Yes","Yes","No","Supportive","No","Mac","Yes","Cautious","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","Yes","No","No","Yes","No","No","No","Yes","No","No","Yes","No","Own","Optimist","Dad","Yes","Yes","No","No","Nope","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes"
1983,"Female","$25,001 - $50,000","Single (no kids)","Bachelor's Degree","Republican","Yes","Yes","No","Yes","No","No","Public","No","Yes","No","Yes","Yes","No","Yes","Science","Study first","Yes","No","No","No","Giving","Yes","No","Pragmatist","Yes","Yes","Hot headed","Odd hours","No","Happy","Yes","Yes","No","Yes","P.M.","Yes","Start","No","Yes","Me","No","Yes","Yes","Yes","No","Mysterious","Yes","No","Tunes","Technology","No","Yes","Yes","No","Yes","Demanding","No","Mac","Yes","Cautious","No","Umm...","No","Space","No","Online","Yes","No","Yes","No","Grrr people","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","Rent","Pessimist","Dad","No","Yes","Yes","Yes","Nope","Yes","Yes","No","Yes","No","No","Yes","No","No","No"
1976,"Male","$25,001 - $50,000","Single (w/kids)","High School Diploma","Republican","Yes","Yes","No","Yes","No","No","Public","No","Yes","No","Yes","No","No","No","Science","Study first","Yes","No","Yes","No","Giving","No","Yes","Pragmatist","No","Yes","Hot headed","Odd hours","Yes","Happy","No","No","Yes","No","A.M.","Yes","End","No","No","Me","Yes","Yes","Yes","Yes","No","Mysterious","No","No","Tunes","People","No","No","Yes","Yes","No","Supportive","No","PC","Yes","Cautious","No","Yes!","No","Socialize","No","Online","No","Yes","No","Yes","Grrr people","No","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","Rent","Pessimist","Mom","No","No","No","Yes","Nope","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes"
1961,"Female","$100,001 - $150,000","Married (w/kids)","Bachelor's Degree","Democrat","No","No","No","Yes","No","No","Private","No","Yes","No","No","Yes","No","Yes","Science","Try first","No","Yes","No","No","Giving","Yes","Yes","Pragmatist","No","No","Cool headed","Odd hours","Yes","Happy","Yes","Yes","No","No","A.M.","Yes","End","Yes","No","Me","No","Yes","No","Yes","No","TMI","Yes","Yes","Talk","Technology","No","Yes","No","No","Yes","Supportive","No","Mac","Yes","Cautious","No","Umm...","No","Space","No","Online","Yes","Yes","Yes","No","Yay people!","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Own","Optimist","Dad","No","Yes","Yes","Yes","Nope","Yes","No","Yes","Yes","No","Yes","Yes","No","No","No"
1997,"Male","$100,001 - $150,000","Single (no kids)","Current K-12","Republican","Yes","Yes","No","No","Yes","Yes","Private","Yes","Yes","No","Yes","Yes","Yes","Yes","Science","Study first","Yes","Yes","No","Yes","Giving","No","Yes","Pragmatist","No","Yes","Hot headed","Odd hours","No","Happy","Yes","No","No","Yes","P.M.","Yes","End","Yes","Yes","Circumstances","Yes","No","No","Yes","Yes","Mysterious","No","No","Tunes","Technology","Yes","Yes","Yes","Yes","Yes","Supportive","No","PC","No","Cautious","No","Yes!","No","Socialize","Yes","Online","No","No","Yes","Yes","Grrr people","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","Own","Pessimist","Dad","Yes","No","Yes","Yes","Nope","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
1990,"Male","$50,000 - $74,999","Single (no kids)","High School Diploma","Democrat","Yes","Yes","No","No","No","Yes","Public","No","No","No","Yes","No","No","Yes","Art","Try first","Yes","No","No","No","Receiving","No","No","Idealist","No","Yes","Hot headed","Odd hours","Yes","Happy","Yes","Yes","No","Yes","P.M.","Yes","End","No","No","Me","No","Yes","No","Yes","No","TMI","No","No","Tunes","People","No","Yes","Yes","No","Yes","Demanding","Yes","Mac","Yes","Risk-friendly","Yes","Yes!","No","Space","Yes","In-person","Yes","No","Yes","Yes","Grrr people","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Rent","Pessimist","Mom","No","Yes","No","Yes","Check!","No","No","No","Yes","No","Yes","Yes","Yes","No","No"
